Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38490e-01,0.02,0.06
5.38491e-01,0.04,-0.02
5.38493e-01,0.02,0.06
5.38494e-01,0.04,-3.8147e-08
5.38496e-01,0.04,0.08
5.38498e-01,0.04,-3.8147e-08
5.38499e-01,0.04,0.06
5.38501e-01,0.02,-3.8147e-08
5.38502e-01,0.04,0.06
5.38504e-01,0.04,-3.8147e-08
5.38506e-01,0.04,0.06
5.38507e-01,0.04,-3.8147e-08
5.38509e-01,0.02,0.06
5.38510e-01,0.04,-3.8147e-08
5.38512e-01,0.04,0.06
5.38514e-01,0.04,-3.8147e-08
5.38515e-01,0.04,0.06
5.38517e-01,0.02,-3.8147e-08
5.38518e-01,0.02,0.06
5.38520e-01,0.02,-3.8147e-08
5.38522e-01,0.04,0.06
5.38523e-01,0.04,-3.8147e-08
5.38525e-01,0.04,0.06
5.38526e-01,0.02,-3.8147e-08
5.38528e-01,0.04,0.06
5.38530e-01,0.04,-3.8147e-08
5.38531e-01,0.02,0.06
5.38533e-01,0.02,-3.8147e-08
5.38534e-01,0.02,0.08
5.38536e-01,0.02,-3.8147e-08
5.38538e-01,0.04,0.06
5.38539e-01,0.02,-3.8147e-08
5.38541e-01,0.04,0.06
5.38542e-01,0.04,-3.8147e-08
5.38544e-01,0.04,0.06
5.38546e-01,0.04,-3.8147e-08
5.38547e-01,0.04,0.06
5.38549e-01,0.04,-3.8147e-08
5.38550e-01,0.02,0.06
5.38552e-01,0.02,-3.8147e-08
5.38554e-01,0.04,0.06
5.38555e-01,0.04,-3.8147e-08
5.38557e-01,0.04,0.06
5.38558e-01,0.02,-3.8147e-08
5.38560e-01,0.04,0.06
5.38562e-01,0.04,-3.8147e-08
5.38563e-01,0.02,0.06
5.38565e-01,0.02,-3.8147e-08
5.38566e-01,0.06,0.06
5.38568e-01,0.02,-3.8147e-08
5.38570e-01,0.04,0.08
5.38571e-01,0.04,-3.8147e-08
5.38573e-01,0.04,0.06
5.38574e-01,0.04,-3.8147e-08
5.38576e-01,0.04,0.06
5.38578e-01,0.02,-3.8147e-08
