Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.279605e-01,0.04,-3.8147e-08
6.279606e-01,0.04,0.06
6.279608e-01,0.04,-3.8147e-08
6.279610e-01,0.04,0.06
6.279611e-01,0.04,-3.8147e-08
6.279613e-01,0.06,0.06
6.279614e-01,0.02,-3.8147e-08
6.279616e-01,0.04,0.06
6.279618e-01,0.04,0.02
6.279619e-01,0.02,0.08
6.279621e-01,0.04,-3.8147e-08
6.279622e-01,0.04,0.06
6.279624e-01,0.04,-3.8147e-08
6.279626e-01,0.04,0.06
6.279627e-01,0.04,-3.8147e-08
6.279629e-01,0.06,0.06
6.279630e-01,0.06,-3.8147e-08
6.279632e-01,0.02,0.06
6.279634e-01,0.04,-3.8147e-08
6.279635e-01,0.06,0.06
6.279637e-01,0.02,-3.8147e-08
6.279638e-01,0.02,0.06
6.279640e-01,0.02,-3.8147e-08
6.279642e-01,0.04,0.06
6.279643e-01,0.04,-3.8147e-08
6.279645e-01,0.02,0.06
6.279646e-01,0.04,-3.8147e-08
6.279648e-01,0.02,0.06
6.279650e-01,0.06,-3.8147e-08
6.279651e-01,0.04,0.06
6.279653e-01,0.02,-3.8147e-08
6.279654e-01,0.02,0.06
6.279656e-01,0.04,-3.8147e-08
6.279658e-01,0.02,0.06
6.279659e-01,0.04,-3.8147e-08
6.279661e-01,0.02,0.06
6.279662e-01,0.04,-3.8147e-08
6.279664e-01,-3.8147e-08,0.06
6.279666e-01,0.04,-3.8147e-08
6.279667e-01,0.02,0.06
6.279669e-01,0.04,0.02
6.279670e-01,0.04,0.06
6.279672e-01,0.04,-3.8147e-08
6.279674e-01,0.02,0.06
6.279675e-01,0.04,-3.8147e-08
6.279677e-01,0.04,0.06
6.279678e-01,0.04,-3.8147e-08
6.279680e-01,0.02,0.06
6.279682e-01,0.04,-3.8147e-08
6.279683e-01,0.04,0.06
6.279685e-01,0.04,-3.8147e-08
6.279686e-01,0.04,0.06
6.279688e-01,0.04,-3.8147e-08
6.279690e-01,0.02,0.08
6.279691e-01,0.04,-3.8147e-08
6.279693e-01,0.04,0.06
6.279694e-01,0.04,-3.8147e-08
6.279696e-01,0.04,0.06
6.279698e-01,0.02,-3.8147e-08
6.279699e-01,0.04,0.06
6.279701e-01,0.04,-3.8147e-08
6.279702e-01,0.04,0.06
6.279704e-01,0.02,-3.8147e-08
6.279706e-01,0.04,0.06
6.279707e-01,0.04,-3.8147e-08
6.279709e-01,0.04,0.06
6.279710e-01,0.04,-3.8147e-08
6.279712e-01,0.04,0.06
6.279714e-01,0.02,0.02
6.279715e-01,0.04,0.06
6.279717e-01,0.04,-3.8147e-08
6.279718e-01,0.04,0.06
6.279720e-01,0.02,-3.8147e-08
6.279722e-01,0.04,0.06
6.279723e-01,0.04,-3.8147e-08
6.279725e-01,0.04,0.06
6.279726e-01,0.04,-3.8147e-08
6.279728e-01,0.04,0.06
6.279730e-01,0.02,-3.8147e-08
6.279731e-01,0.04,0.06
6.279733e-01,0.04,-3.8147e-08
6.279734e-01,0.04,0.06
